"COD_COLOR,C,6","NOM_COLOR,C,50"
1,COLOR NEGRO
3,COLOR AMARILLO
5,COLOR MARRON
6,COLOR BLANCO
7,COLOR GRIS
8,COLOR AZUL / GRIS
9,COLOR AZUL / NEGRO
10,COLOR AZUL
11,COLOR PALO ROSA
12,COLOR NARANJA
14,COLOR VERDE
15,COLOR BEIGE
16,CROMÁTICO
17,COLOR VINOTINTO
18,COLOR GRIS / NEGRO
19,COLOR PLATEADO
21,COLOR BEIGE AUSTRALIA
23,COLOR PLATEADO FERROSO
24,COLOR PERLA
25,COLOR BEIGE OLIMPICO
26,COLOR ARENA METALIZADO
27,COLOR PLATA
28,COLOR ROJO
29,COLOR ACERO
30,COLOR BEIGE DUNA
31,COLOR MARRÓN / NEGRO
32,COLOR AZUL / BEIGE
33,COLOR MARRÓN / BEIGE
34,COLOR VERDE ESMERALDA
35,COLOR PLATA CLARO
36,COLOR PLATEADO BRILLANTE
37,COLOR MARRÓN PARDILLO BICAPA
38,COLOR GRIS PALMERA
39,COLOR DORADO
40,"COLOR MADERA NATURAL,"
41,COLOR NEGRO/AMARILLO MOSTAZA
