Código,Descripción
1,NEGRO
2,AZUL
3,PALO ROSA
4,NARANJA
5,VERDE
6,BEIGE
7,CROMÁTICO
8,VINOTINTO
9,GRIS / NEGRO
10,PLATEADO
11,BEIGE AUSTRALIA
12,PLATEADO FERROSO
13,PERLA
14,BEIGE OLIMPICO
15,ARENA METALIZADO
16,PLATA
17,ROJO
18,AMARILLO
19,BEIGE DUNA
20,MARRÓN / NEGRO
21,AZUL / BEIGE
22,MARRÓN /BEIGE
23,VERDE ESMERALDA
24,PLATA CLARO
25,PLATEADO BRILLANTE
26,MARRÓN PARDILLO BICAPA
27,GRIS PALMERA
28,DORADO
29,MADERA NATURAL
30,NEGRO/AMARILLO MOSTAZA
31,MARRON
32,BLANCO
33,GRIS
34,AZUL / GRIS
35,AZUL / NEGRO
36,ACERO
37,OTRO COLOR
